Serene,Typing,Knocking,Shaking,Time
0,0,0,0,0.00
5,7,74,33,0.04
2,23,19,7,0.09
0,12,19,45,0.13
0,26,13,15,0.17
3,11,27,32,0.21
0,3,14,37,0.26
5,22,21,36,0.30
4,25,15,58,0.34
0,25,51,72,0.39
1,2,16,81,0.43
0,4,12,217,0.47
3,25,57,126,0.52
3,12,0,21,0.56
2,13,31,16,0.60
0,24,36,68,0.64
0,6,27,6,0.69
3,18,32,74,0.73
1,16,102,87,0.77
5,12,71,149,0.82
0,34,36,21,0.86
4,6,86,6,0.90
4,23,16,37,0.95
4,42,129,58,0.99
1,32,8,46,1.03
5,22,107,211,1.07
1,12,71,10,1.12
2,44,202,304,1.16
1,26,33,24,1.20
3,60,46,329,1.25
3,45,116,1,1.29
0,58,292,143,1.33
2,69,349,20,1.38
0,4,159,67,1.42
4,17,326,234,1.46
4,3,174,14,1.50
3,2,325,306,1.55
3,19,60,151,1.59
0,58,13,64,1.63
0,86,165,223,1.68
4,23,332,135,1.72
2,95,381,36,1.76
1,9,116,189,1.80
2,33,104,291,1.85
0,78,110,57,1.89
2,93,125,29,1.93
3,16,64,21,1.98
0,50,59,76,2.02
2,17,22,146,2.06
0,38,74,178,2.11
2,91,224,181,2.15
1,15,40,15,2.19
4,61,179,119,2.23
2,49,175,167,2.28
4,59,14,103,2.32
2,22,1,35,2.36
1,3,82,12,2.41
2,27,73,81,2.45
1,13,26,61,2.49
4,64,28,135,2.54
0,103,70,120,2.58
1,17,197,27,2.62
3,6,97,25,2.66
0,5,0,15,2.75
0,0,0,0,2.79
0,14,12,129,2.84
0,6,12,126,2.88
0,5,12,121,2.92
0,6,5,154,2.96
1,8,14,144,3.01
0,7,20,131,3.05
0,1,13,153,3.09
3,18,26,113,3.14
0,12,24,137,3.18
1,3,5,71,3.22
0,2,19,237,3.27
2,14,5,304,3.31
0,30,41,195,3.35
6,15,1,107,3.39
2,8,2,237,3.44
3,18,20,357,3.48
1,40,16,39,3.52
3,22,47,340,3.57
2,7,8,260,3.61
2,6,44,412,3.65
2,9,21,99,3.70
1,32,26,132,3.74
0,65,29,189,3.78
5,73,35,200,3.82
2,6,107,1022,3.87
2,9,77,15,3.91
13,20,38,142,3.95
14,31,25,177,4.00
13,24,41,73,4.04
2,17,115,144,4.08
0,47,110,490,4.13
0,114,188,69,4.17
0,69,267,1630,4.21
2,64,610,177,4.25
11,128,86,606,4.30
0,129,43,40,4.34
5,39,268,738,4.38
7,27,170,775,4.43
2,35,60,925,4.47
0,50,384,188,4.51
1,63,210,1150,4.55
3,45,47,470,4.60
0,82,189,841,4.64
2,19,57,96,4.68
0,3,11,730,4.73
1,12,137,604,4.77
1,95,24,235,4.81
0,110,117,245,4.86
2,87,99,663,4.90
1,5,24,97,4.94
3,35,229,478,4.98
1,79,109,162,5.03
1,40,245,209,5.07
1,41,86,619,5.11
0,42,83,15,5.16
0,14,14,557,5.20
1,21,291,252,5.24
0,57,96,147,5.29
1,72,146,298,5.33
1,35,144,165,5.37
0,28,8,88,5.41
0,24,257,725,5.46
0,5,7,107,5.50
0,0,0,0,5.54
1,1,32,103,5.59
1,4,7,21,5.63
1,0,10,32,5.67
0,7,3,80,5.71
2,8,17,69,5.76
6,13,19,62,5.80
2,19,38,39,5.84
1,5,51,21,5.89
3,18,12,103,5.93
0,21,16,163,5.97
3,16,25,287,6.02
3,37,0,127,6.06
3,15,1,89,6.10
7,2,19,81,6.14
4,3,3,22,6.19
16,3,12,15,6.23
1,18,3,18,6.27
2,15,23,2,6.32
13,3,6,67,6.36
2,20,2,72,6.40
0,2,38,84,6.45
16,6,5,183,6.49
6,12,17,228,6.53
8,41,37,12,6.57
3,67,31,66,6.62
9,1,33,114,6.66
3,48,33,499,6.70
4,18,8,166,6.75
16,14,8,347,6.79
9,10,6,437,6.83
1,49,15,104,6.88
16,26,164,173,6.92
0,25,26,107,6.96
10,62,117,198,7.00
5,12,62,83,7.05
1,8,119,143,7.09
9,11,9,270,7.13
15,18,110,211,7.18
2,92,8,78,7.22
12,78,48,235,7.26
1,90,16,100,7.30
4,81,35,115,7.35
5,85,27,9,7.39
1,16,3,25,7.43
15,39,32,118,7.48
7,4,3,17,7.52
0,32,2,153,7.56
3,108,32,48,7.61
3,10,4,112,7.65
13,36,11,34,7.69
2,7,70,253,7.73
6,61,36,223,7.78
0,6,28,31,7.82
6,49,64,33,7.86
6,0,84,121,7.91
2,18,0,21,7.95
1,59,33,120,7.99
4,76,40,28,8.04
0,8,107,226,8.08
2,5,28,240,8.12
1,87,32,89,8.16
0,72,19,149,8.21
2,46,64,79,8.25
